TYPE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source,Geocoded_Location
Request for Pothole Repair,PWDx,120 Cambridge St  Allston  MA  02134,11,04,9,D14,Allston,15,22,2201,CL,120 Cambridge St,02134,42.358025,-71.121346,Citizens Connect App,"(42.358025, -71.121346)"
Request for Pothole Repair,PWDx,382-386A Cambridge St  Allston  MA  02134,11,04,9,D14,Allston,15,21,2104,C,382-386A Cambridge St,02134,42.355287,-71.132981,Citizens Connect App,"(42.355287, -71.132981)"
Request for Pothole Repair,PWDx,92 Harvard Ave  Allston  MA  02134,11,04,9,D14,Allston,15,21,2105,,92 Harvard Ave,02134,42.3594,-71.0587,Citizens Connect App,"(42.3594, -71.0587)"
Request for Pothole Repair,PWDx,120 Cambridge St  Allston  MA  02134,11,04,9,D14,Allston,15,22,2201,CL,120 Cambridge St,02134,42.358025,-71.121346,Citizens Connect App,"(42.358025, -71.121346)"
Request for Pothole Repair,PWDx,285-291 Western Ave  Allston  MA  02134,11,04,9,D14,Allston,15,22,2201,C,285-291 Western Ave,02134,42.3638,-71.13436,Citizens Connect App,"(42.3638, -71.13436)"
Request for Pothole Repair,PWDx,120 Cambridge St  Allston  MA  02134,11,04,9,D14,Allston,15,22,2201,CL,120 Cambridge St,02134,42.358025,-71.121346,Citizens Connect App,"(42.358025, -71.121346)"
Request for Pothole Repair,PWDx,120 Cambridge St  Allston  MA  02134,11,04,9,D14,Allston,15,22,2201,CL,120 Cambridge St,02134,42.358025,-71.121346,Citizens Connect App,"(42.358025, -71.121346)"
Request for Pothole Repair,PWDx,120 Cambridge St  Allston  MA  02134,11,04,9,D14,Allston,15,22,2201,CL,120 Cambridge St,02134,42.358025,-71.121346,Citizens Connect App,"(42.358025, -71.121346)"
Request for Pothole Repair,PWDx,120 Cambridge St  Allston  MA  02134,11,04,9,D14,Allston,15,22,2201,CL,120 Cambridge St,02134,42.358025,-71.121346,Citizens Connect App,"(42.358025, -71.121346)"
Request for Pothole Repair,PWDx,63 Allston St  Allston  MA  02134,11,04,9,D14,Allston,15,21,2106,RL,63 Allston St,02134,42.351244,-71.136078,Citizens Connect App,"(42.351244, -71.136078)"
Request for Pothole Repair,INFO,400 Soldiers Field Rd  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 22,2201,C,400 Soldiers Field Rd,02134,42.36002,-71.11832,Citizens Connect App,"(42.36002, -71.11832)"
Request for Pothole Repair,PWDx,INTERSECTION of Academy Hill Rd & Gem Ave  Brighton  MA,11,04,9,D14,Allston / Brighton,15,Ward 22,2209,,INTERSECTION Academy Hill Rd & Gem Ave,,42.349446,-71.049447,Citizens Connect App,"(42.349446, -71.049447)"
Request for Pothole Repair,PWDx,78 Euston Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2111,R2,78 Euston Rd,02135,42.34392,-71.14568,Citizens Connect App,"(42.34392, -71.14568)"
Request for Pothole Repair,PWDx,315 Western Ave  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2205,E,315 Western Ave,02135,42.36333,-71.13573,Citizens Connect App,"(42.36333, -71.13573)"
Request for Pothole Repair,PWDx,225 Parsons St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2211,R2,225 Parsons St,02135,42.35694,-71.15708,Citizens Connect App,"(42.35694, -71.15708)"
Request for Pothole Repair,PWDx,INTERSECTION of Colliston Rd & Lanark Rd  Brighton  MA,11,04,9,D14,Allston / Brighton,15,Ward 21,2112,,INTERSECTION Colliston Rd & Lanark Rd,,42.28116,-71.11626,Citizens Connect App,"(42.28116, -71.11626)"
Request for Pothole Repair,PWDx,1439 Commonwealth Ave  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2109,C,1439 Commonwealth Ave,02135,42.34891,-71.1403,Citizens Connect App,"(42.34891, -71.1403)"
Request for Pothole Repair,PWDx,INTERSECTION of Kirkwood Rd & Radnor Rd  Brighton  MA,11,04,9,D14,Allston / Brighton,15,Ward 22,2209,,INTERSECTION Kirkwood Rd & Radnor Rd,,42.374114,-71.06641,Citizens Connect App,"(42.374114, -71.06641)"
Request for Pothole Repair,INFO,29 Denby Rd  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 22,2202,I,29 Denby Rd,02134,42.35602,-71.13482,Citizens Connect App,"(42.35602, -71.13482)"
Request for Pothole Repair,PWDx,INTERSECTION of Athol St & Holton St  Allston  MA,11,04,9,D14,Allston / Brighton,15,Ward 22,2202,,INTERSECTION Athol St & Holton St,,42.29463,-71.05631,Citizens Connect App,"(42.29463, -71.05631)"
Request for Pothole Repair,PWDx,17 Barrows St  Allston  MA  02134,11,04,9,D14,Allston / Brighton,15,Ward 21,2106,A,17 Barrows St,02134,42.35244,-71.138231,Citizens Connect App,"(42.35244, -71.138231)"
Request for Pothole Repair,PWDx,39 Trapelo St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2208,R2,39 Trapelo St,02135,42.34631,-71.15981,Citizens Connect App,"(42.34631, -71.15981)"
Request for Pothole Repair,PWDx,INTERSECTION of Colborne Rd & Colborne Path  Brighton  MA,11,04,9,D14,Allston / Brighton,15,Ward 21,2111,,INTERSECTION Colborne Rd & Colborne Path,,42.28529,-71.11126,Citizens Connect App,"(42.28529, -71.11126)"
Request for Pothole Repair,PWDx,INTERSECTION of Cambridge St & Eleanor St  Allston  MA,11,04,9,D14,Allston / Brighton,15,Ward 21,2106,,INTERSECTION Cambridge St & Eleanor St,,42.32933,-71.06329,Citizens Connect App,"(42.32933, -71.06329)"
Request for Pothole Repair,PWDx,INTERSECTION of Cambridge St & Soldiers Field Rd  Allston  MA,11,04,9,D14,Allston / Brighton,15,Ward 22,2201,,INTERSECTION Cambridge St & Soldiers Field Rd,,42.35248,-71.13474,Citizens Connect App,"(42.35248, -71.13474)"
Request for Pothole Repair,PWDx,52 Parsons St  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2210,R3,52 Parsons St,02135,42.3515,-71.15526,Citizens Connect App,"(42.3515, -71.15526)"
Request for Pothole Repair,PWDx,78 Euston Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2111,R2,78 Euston Rd,02135,42.34392,-71.14568,Citizens Connect App,"(42.34392, -71.14568)"
Request for Pothole Repair,PWDx,288 Chestnut Hill Ave  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 21,2116,A,288 Chestnut Hill Ave,02135,42.33868,-71.15354,Citizens Connect App,"(42.33868, -71.15354)"
