PartipantID,Index,Vis,Error,TruePerc,ReportPerc
2014-10-15-16-39,0,BarChart(horizontal),2.4982193,0.24475124,0.3
2014-10-15-16-39,1,BarChart(horizontal),-0.72175074,0.2848136,0.28
2014-10-15-16-39,2,PieChart,2.6529582,0.43164557,0.37
2014-10-15-16-39,3,TreeMap,3.4709532,0.360368,0.47
2014-10-15-16-39,4,BarChart,1.4400021,0.8458821,0.82
2014-10-15-16-39,5,TreeMap,1.7023,0.47870806,0.51
2014-10-15-16-39,6,StackedBarChart,2.141444,0.77287036,0.73
2014-10-15-16-39,7,StackedBarChart,2.0362513,0.38976783,0.35
2014-10-15-16-39,8,BarChart,2.7465959,0.11413683,0.18
2014-10-15-16-39,9,BarChart,3.7324462,0.3383337,0.47
2014-10-15-16-39,10,StackedBarChart,3.112801,0.59525603,0.51
2014-10-15-16-39,11,BarChart,2.9397194,0.2945238,0.37
2014-10-15-16-39,12,TreeMap,2.6392515,0.82894915,0.89
2014-10-15-16-39,13,BarChart(horizontal),0.8395577,0.69335496,0.71
2014-10-15-16-39,14,StackedBarChart,1.129493,0.27937183,0.3
2014-10-15-16-39,15,PieChart,3.6062577,0.8705344,0.75
2014-10-15-16-39,16,BarChart(horizontal),0.06436862,0.040793728,0.05
2014-10-15-16-39,17,StackedBarChart,2.6969914,0.6564052,0.72
2014-10-15-16-39,18,TreeMap,3.0379534,0.36088252,0.28
2014-10-15-16-39,19,BarChart(horizontal),-0.19236128,0.9475017,0.94
2014-10-15-16-39,20,BarChart(horizontal),-2.5831838,0.73041874,0.73
2014-10-15-16-39,21,BarChart(horizontal),-0.21745685,0.6073508,0.6
2014-10-15-16-39,22,BarChart,2.8415499,0.54957104,0.62
2014-10-15-16-39,23,StackedBarChart,3.0379121,0.89911985,0.98
2014-10-15-16-39,24,PieChart,0.5506383,0.09660266,0.11
2014-10-15-16-39,25,BarChart(horizontal),1.9388257,0.92708933,0.89
2014-10-15-16-39,26,PieChart,2.104643,0.47175914,0.43
2014-10-15-16-39,27,TreeMap,3.0304475,0.7295437,0.81
2014-10-15-16-39,28,BarChart,2.5897822,0.5710492,0.63
2014-10-15-16-39,29,BarChart(horizontal),5.4404726,0.9230057,0.49
2014-10-15-16-39,30,BarChart,2.0852737,0.92118555,0.88
2014-10-15-16-39,31,BarChart,0.88548803,0.6827761,0.7
2014-10-15-16-39,32,TreeMap,0.54788816,0.94663054,0.96
2014-10-15-16-39,33,StackedBarChart,1.5542165,0.4381174,0.41
2014-10-15-16-39,34,BarChart(horizontal),1.3241587,0.046211317,0.07
2014-10-15-16-39,35,TreeMap,1.5319439,0.8923325,0.92
2014-10-15-16-39,36,StackedBarChart,2.788698,0.5678506,0.5
2014-10-15-16-39,37,BarChart(horizontal),4.269697,0.9016387,0.71
2014-10-15-16-39,38,StackedBarChart,0.36316493,0.43161243,0.42
2014-10-15-16-39,39,TreeMap,1.1296561,0.77936935,0.8
2014-10-15-16-39,40,BarChart(horizontal),1.8766237,0.31452852,0.35
2014-10-15-16-39,41,BarChart(horizontal),0.084161855,0.5293507,0.52
2014-10-15-16-39,42,TreeMap,1.2574389,0.9926571,0.97
2014-10-15-16-39,43,BarChart,2.4935217,0.4249349,0.48
2014-10-15-16-39,44,StackedBarChart,1.5833565,0.86128336,0.89
2014-10-15-16-39,45,StackedBarChart,1.7113024,0.9385044,0.97
2014-10-15-16-39,46,TreeMap,1.6319016,0.35974213,0.33
2014-10-15-16-39,47,StackedBarChart,2.0821009,0.5610923,0.52
2014-10-15-16-39,48,TreeMap,3.6959343,0.82165533,0.95
2014-10-15-16-39,49,PieChart,0.48951483,0.9572103,0.97
2014-10-15-16-39,50,PieChart,1.4114572,0.96535057,0.94
