PartipantID,Index,Vis,Error,TruePerc,ReportPerc
2014-11-20-20-50,0,BarChart - white,5.108445,0.506269,0.85
2014-11-20-20-50,1,BarChart - all same color,1.3434131,0.14412509,0.12
2014-11-20-20-50,2,BarChart - mark w/color,2.1819005,0.14412509,0.1
2014-11-20-20-50,3,BarChart - white,2.1819005,0.14412509,0.1
2014-11-20-20-50,4,BarChart - mark w/color,1.9434254,0.5372118,0.5
2014-11-20-20-50,5,BarChart - mark w/color,3.624483,0.5220827,0.4
2014-11-20-20-50,6,BarChart - mark w/color,-2.391448,0.03065591,0.03
2014-11-20-20-50,7,BarChart - all same color,2.5291064,0.8564714,0.8
2014-11-20-20-50,8,BarChart - all different color,2.8744566,0.5220827,0.45
2014-11-20-20-50,9,BarChart - white,0.51924235,0.016917976,0.03
2014-11-20-20-50,10,BarChart - all same color,1.704403,0.61866057,0.65
2014-11-20-20-50,11,BarChart - mark w/color,1.6399462,0.42991543,0.4
2014-11-20-20-50,12,BarChart - all different color,2.3575616,0.39999965,0.45
2014-11-20-20-50,13,BarChart - white,0.9304719,0.06780899,0.05
2014-11-20-20-50,14,BarChart - mark w/color,3.2472966,0.24370846,0.15
2014-11-20-20-50,15,BarChart - white,1.2223524,0.5220827,0.5
2014-11-20-20-50,16,BarChart - white,0.703,0.41502887,0.4
2014-11-20-20-50,17,BarChart - mark w/color,3.0459569,0.61866057,0.7
2014-11-20-20-50,18,BarChart - white,-1.0311246,0.063643284,0.06
2014-11-20-20-50,19,BarChart - all same color,2.802555,0.7314825,0.8
2014-11-20-20-50,20,BarChart - white,2.802555,0.7314825,0.8
2014-11-20-20-50,21,BarChart - white,1.6546588,0.7802349,0.75
2014-11-20-20-50,22,BarChart - all same color,2.3575423,0.39999965,0.35
2014-11-20-20-50,23,BarChart - all same color,1.6936316,0.568903,0.6
2014-11-20-20-50,24,BarChart - all same color,1.2678466,0.95716983,0.98
2014-11-20-20-50,25,BarChart - all same color,0.5746619,0.063643284,0.05
2014-11-20-20-50,26,BarChart - white,-0.3271719,0.10672098,0.1
2014-11-20-20-50,27,BarChart - mark w/color,-1.5295576,0.7977862,0.8
2014-11-20-20-50,28,BarChart - white,2.2945793,0.6521889,0.7
2014-11-20-20-50,29,BarChart - all different color,2.1685925,0.24370846,0.2
2014-11-20-20-50,30,BarChart - all different color,1.3434131,0.14412509,0.12
2014-11-20-20-50,31,BarChart - mark w/color,-0.3271719,0.10672098,0.1
2014-11-20-20-50,32,BarChart - all different color,1.0714289,0.7802349,0.8
2014-11-20-20-50,33,BarChart - all different color,-1.0311246,0.063643284,0.06
2014-11-20-20-50,34,BarChart - mark w/color,1.3765506,0.07471468,0.05
