PartipantID,Index,Vis,Error,TruePerc,ReportPerc
2014-11-20-21-9,0,BarChart - all same color,-0.18469802,0.60754836,0.6
2014-11-20-21-9,1,BarChart - all same color,-0.043974154,0.9815502,0.99
2014-11-20-21-9,2,BarChart - mark w/color,-0.23585783,0.0127582,0.02
2014-11-20-21-9,3,BarChart - all same color,2.9964066,0.828551,0.75
2014-11-20-21-9,4,BarChart - all same color,0.49036592,0.962798,0.95
2014-11-20-21-9,5,BarChart - mark w/color,0.62619543,0.7758151,0.79
2014-11-20-21-9,6,BarChart - white,2.250512,0.4836648,0.53
2014-11-20-21-9,7,BarChart - all same color,0.26880524,0.9692019,0.98
2014-11-20-21-9,8,BarChart - all same color,1.4960896,0.06304229,0.09
2014-11-20-21-9,9,BarChart - all same color,1.235268,0.18770748,0.21
2014-11-20-21-9,10,BarChart - white,-0.24263033,0.962798,0.97
2014-11-20-21-9,11,BarChart - white,0.50531584,0.8370557,0.85
2014-11-20-21-9,12,BarChart - white,1.5909839,0.9588755,0.93
2014-11-20-21-9,13,BarChart - all different color,0.8645493,0.06304229,0.08
2014-11-20-21-9,14,BarChart - all different color,-1.2836235,0.60285765,0.6
2014-11-20-21-9,15,BarChart - all same color,2.7654903,0.9067479,0.84
2014-11-20-21-9,16,BarChart - mark w/color,2.2985544,0.38205355,0.43
2014-11-20-21-9,17,BarChart - white,3.2343123,0.60285765,0.51
2014-11-20-21-9,18,BarChart - white,2.9964066,0.828551,0.75
2014-11-20-21-9,19,BarChart - white,2.531708,0.5234244,0.58
2014-11-20-21-9,20,BarChart - all different color,0.8868855,0.0127582,0.03
2014-11-20-21-9,21,BarChart - all different color,3.8378162,0.6282626,0.77
2014-11-20-21-9,22,BarChart - mark w/color,2.7618294,0.5234244,0.59
2014-11-20-21-9,23,BarChart - all different color,1.7293234,0.34809276,0.38
2014-11-20-21-9,24,BarChart - white,2.338078,0.37068713,0.42
2014-11-20-21-9,25,BarChart - white,3.217036,0.6282626,0.72
2014-11-20-21-9,26,BarChart - all different color,1.4364353,0.7758151,0.75
2014-11-20-21-9,27,BarChart - all different color,-0.26782638,0.8370557,0.83
2014-11-20-21-9,28,BarChart - all different color,0.88377875,0.962798,0.98
2014-11-20-21-9,29,BarChart - mark w/color,-0.07209222,0.6282626,0.62
2014-11-20-21-9,30,BarChart - all same color,3.286662,0.4836648,0.58
2014-11-20-21-9,31,BarChart - all same color,2.9410932,0.3344507,0.41
2014-11-20-21-9,32,BarChart - all same color,0.29554224,0.06897654,0.08
2014-11-20-21-9,33,BarChart - all different color,0.9949745,0.07131955,0.09
2014-11-20-21-9,34,BarChart - mark w/color,0.98368025,0.23147497,0.25
2014-11-20-21-9,35,BarChart - all same color,2.051991,0.32978222,0.37
2014-11-20-21-9,36,BarChart - all same color,3.1676896,0.58138937,0.67
2014-11-20-21-9,37,BarChart - mark w/color,2.3179011,0.58138937,0.63
